id,name,country,testCap,dob,role,battingHand,matches,runs,wickets,battingAverage,bowlingAverage,fifties,hundreds,fiveWickets,tenWickets,imageLink,isTargetable,matchIds,playerLink
772061,Sam Cook,England,719,1997-08-04,Bowler,Right,1,0,1,0.0,119.0,0,0,0,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/324300/324382.1.png",1,1392691,https://www.espncricinfo.com/cricketers/sam-cook-772061
1194959,Jacob Bethell,England,718,2003-10-23,Batting Allrounder,Left,6,476,4,43.27,40.5,3,1,0,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388700/388704.5.png",1,1428554;1428555;1428556;1448353;1455614;1455615,https://www.espncricinfo.com/cricketers/jacob-bethell-1194959
596417,Brydon Carse,England,717,1995-07-31,Bowling Allrounder,Right,14,357,58,17.85,30.18,1,0,1,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/325900/325908.1.png",1,1442215;1442216;1428554;1428555;1428556;1448349;1448350;1448351;1448352;1455611;1455612;1455613;1455614;1455615,https://www.espncricinfo.com/cricketers/brydon-carse-596417
1330163,Josh Hull,England,716,2004-08-20,Bowler,Left,1,9,3,9.0,30.33,0,0,0,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388400/388413.5.png",1,1385696,https://www.espncricinfo.com/cricketers/josh-hull-1330163
1096092,Jamie Smith,England,715,2000-07-12,Wicketkeeper Batter,Right,20,1286,0,41.48,0.0,7,2,0,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387300/387328.5.png",1,1385691;1385692;1385693;1385694;1385695;1385696;1442215;1442216;1442217;1392691;1448349;1448350;1448351;1448352;1448353;1455611;1455612;1455613;1455614;1455615,https://www.espncricinfo.com/cricketers/jamie-smith-1096092
1039481,Gus Atkinson,England,714,1998-01-19,Bowler,Right,16,453,69,20.59,24.21,0,1,4,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387400/387416.6.png",1,1385691;1385692;1385693;1385694;1385695;1385696;1442215;1442217;1428554;1428555;1428556;1392691;1448353;1455611;1455612;1455614,https://www.espncricinfo.com/cricketers/gus-atkinson-1039481
1334872,Shoaib Bashir,England,713,2003-10-13,Bowler,Right,19,92,68,7.07,39.0,0,0,4,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388000/388000.5.png",1,1389400;1389402;1389403;1385691;1385692;1385693;1385694;1385695;1385696;1442215;1442216;1442217;1428554;1428555;1428556;1392691;1448349;1448350;1448351,https://www.espncricinfo.com/cricketers/shoaib-bashir-1334872
1150772,Tom Hartley,England,712,1999-05-03,Bowler,Left,5,185,22,18.5,36.13,0,0,1,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383156.1.png",1,1389399;1389400;1389401;1389402;1389403,https://www.espncricinfo.com/cricketers/tom-hartley-1150772
857975,Josh Tongue,England,711,1997-11-15,Bowler,Right,9,48,49,5.33,26.36,0,0,3,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390720.2.png",1,1336127;1336044;1392691;1448349;1448350;1448353;1455613;1455614;1455615,https://www.espncricinfo.com/cricketers/josh-tongue-857975
1263691,Rehan Ahmed,England,710,2004-08-13,Bowling Allrounder,Right,5,103,22,10.3,31.22,0,0,1,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/353900/353935.1.png",1,1330873;1389399;1389400;1389401;1442217,https://www.espncricinfo.com/cricketers/rehan-ahmed-1263691
403902,Liam Livingstone,England,709,1993-08-04,Batting Allrounder,Right,1,16,0,16.0,0.0,0,0,0,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383152.1.png",1,1330871,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
897549,Will Jacks,England,708,1998-11-21,Batting Allrounder,Right,6,234,12,21.27,46.16,0,0,1,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383155.1.png",1,1330871;1330872;1455612;1455613;1455614;1455615,https://www.espncricinfo.com/cricketers/will-jacks-897549
911707,Harry Brook,England,707,1999-02-22,Middle order Batter,Right,35,3178,1,54.79,105.0,15,10,0,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383145.1.png",1,1276918;1330871;1330872;1330873;1322355;1322356;1336127;1336043;1336044;1336045;1336046;1336047;1385691;1385692;1385693;1385694;1385695;1385696;1442215;1442216;1442217;1428554;1428555;1428556;1392691;1448349;1448350;1448351;1448352;1448353;1455611;1455612;1455613;1455614;1455615,https://www.espncricinfo.com/cricketers/harry-brook-911707
510530,Jamie Overton,England,706,1994-04-10,Bowling Allrounder,Right,2,106,4,35.33,77.5,1,0,0,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/324200/324243.1.png",1,1276903;1448353,https://www.espncricinfo.com/cricketers/jamie-overton-510530
