name,team,playerLink
Ruturaj Gaikwad,CSK,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380
Dewald Brevis,CSK,https://www.espncricinfo.com/cricketers/dewald-brevis-1070665
MS Dhoni,CSK,https://www.espncricinfo.com/cricketers/ms-dhoni-28081
Kartik Sharma,CSK,https://www.espncricinfo.com/cricketers/kartik-sharma-1459392
Sarfaraz Khan,CSK,https://www.espncricinfo.com/cricketers/sarfaraz-khan-642525
Urvil Patel,CSK,https://www.espncricinfo.com/cricketers/urvil-patel-1131570
Sanju Samson,CSK,https://www.espncricinfo.com/cricketers/sanju-samson-425943
Ayush Mhatre,CSK,https://www.espncricinfo.com/cricketers/ayush-mhatre-1452455
Aman Khan,CSK,https://www.espncricinfo.com/cricketers/aman-khan-1254269
Shivam Dube,CSK,https://www.espncricinfo.com/cricketers/shivam-dube-714451
Dian Forrester,CSK,https://www.espncricinfo.com/cricketers/dian-forrester-696471
Zak Foulkes,CSK,https://www.espncricinfo.com/cricketers/zak-foulkes-1202098
Anshul Kamboj,CSK,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
Macneil Noronha,CSK,https://www.espncricinfo.com/cricketers/macneil-noronha-1327725
Matthew Short,CSK,https://www.espncricinfo.com/cricketers/matthew-short-605575
Prashant Veer,CSK,https://www.espncricinfo.com/cricketers/prashant-veer-1403197
Ramakrishna Ghosh,CSK,https://www.espncricinfo.com/cricketers/ramakrishna-ghosh-1339053
Jamie Overton,CSK,https://www.espncricinfo.com/cricketers/jamie-overton-510530
Rahul Chahar,CSK,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812
Shreyas Gopal,CSK,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580
Gurjapneet Singh,CSK,https://www.espncricinfo.com/cricketers/gurjapneet-singh-1269869
Matt Henry,CSK,https://www.espncricinfo.com/cricketers/matt-henry-506612
Akeal Hosein,CSK,https://www.espncricinfo.com/cricketers/akeal-hosein-530812
Spencer Johnson,CSK,https://www.espncricinfo.com/cricketers/spencer-johnson-1123718
Akash Madhwal,CSK,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039
Mukesh Choudhary,CSK,https://www.espncricinfo.com/cricketers/mukesh-choudhary-1125688
Noor Ahmad,CSK,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529
Kuldip Yadav,CSK,https://www.espncricinfo.com/cricketers/kuldip-yadav-1206495
Khaleel Ahmed,CSK,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
Nathan Ellis,CSK,https://www.espncricinfo.com/cricketers/nathan-ellis-826915
Abishek Porel,DC,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
David Miller,DC,https://www.espncricinfo.com/cricketers/david-miller-321777
Karun Nair,DC,https://www.espncricinfo.com/cricketers/karun-nair-398439
Pathum Nissanka,DC,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655
Sahil Parakh,DC,https://www.espncricinfo.com/cricketers/sahil-parakh-1451028
KL Rahul,DC,https://www.espncricinfo.com/cricketers/kl-rahul-422108
Nitish Rana,DC,https://www.espncricinfo.com/cricketers/nitish-rana-604527
Prithvi Shaw,DC,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168
Tristan Stubbs,DC,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
Ben Duckett,DC,https://www.espncricinfo.com/cricketers/ben-duckett-521637
Axar Patel,DC,https://www.espncricinfo.com/cricketers/axar-patel-554691
